cons	name	RA	Dec	vis. meg	abs. meg	Dist.(ly)	Sp. class
3	HD 128294	14 41 59.76	-77 00 41.1	6.34	0.05	592	B9III
3	HD 162337	18 05 26.74	-81 29 11.2	6.37	-0.89	924	K3/K4III
3	HD 137366	15 30 49.19	-71 39 14.7	6.39	-1.15	1052	B3V
3	HD 141846	15 59 55.14	-78 01 37.6	6.4	1.76	276	F3IV
3	HD 124639	14 24 22.18	-82 50 53.6	6.42	-0.74	881	B8V
3	HD 129899	14 51 30.07	-77 10 33.4	6.44	-0.76	898	Ap...
3	HD 152010	16 57 01.06	-71 06 41.6	6.46	-2.08	1663	A5IV/V
3	HD 124099	14 16 55.17	-77 39 51.2	6.48	-2.82	2362	K2IIp
3	HD 159558	17 40 44.57	-67 51 14.8	6.48	1.15	379	G8III
3	HD 134606	15 15 15	-70 31 11	6.85	9999	86	G6IV
3	HD 137509	15 31 27.12	-71 03 43.7	6.87	9999	638	B8
3	HD 131664	15 00 06.07	-73 32 07.2	8.13	9999	183.5	G3V
3	HD 137388	15 35 40	-80 12 17	8.71	9999	124	K0/K1V
3	S Aps	15 09 24.53	-72 03 45.2	9.6	9999	4900	C+
3	HD 138403	15 37 11.18	-71 54 52.9	10.47	9999	9999	O8(f)ep
3	Z Aps	14 06 54.81	-71 22 16.8	11.07	9999	9999	9999
3	L 19-2	14 33 07.60	-81 20 14.5	13.75	9999	9999	DA4.1
4	β Aqr	21 31 33.52	-05 34 16.2	2.9	-3.47	612	G0Ib
4	α Aqr	22 05 47.03	-00 19 11.4	2.95	-3.88	758	G2Ib
4	δ Aqr	22 54 39.04	-15 49 14.7	3.27	-0.18	159	A3V
4	ζ1 Aqr	22 28 49.80	-00 01 12.2	3.65	1.14	103	F3III-IV
4	88 Aqr	23 09 26.76	-21 10 20.9	3.68	-0.6	234	K1III
4	λ Aqr	22 52 36.86	-07 34 46.8	3.73	-1.67	391	M2IIIvar
4	ε Aqr	20 47 40.53	-09 29 44.5	3.78	-0.46	229	A1V
4	γ Aqr	22 21 39.30	-01 23 14.5	3.86	0.44	158	A0V
4	98 Aqr	23 22 58.30	-20 06 01.2	3.96	0.48	162	K0III
4	η Aqr	22 35 21.33	-00 07 02.5	4.04	0.29	183	B9IV-Vn
4	τ2 Aqr	22 49 35.51	-13 35 33.1	4.05	-1.28	380	K5III
4	θ Aqr	22 16 49.97	-07 46 59.7	4.17	0.33	191	G8III-IV
4	φ Aqr	23 14 19.33	-06 02 54.7	4.22	0.05	222	M2III
4	ψ1 Aqr	23 15 53.28	-09 05 15.7	4.24	0.95	148	K0III
4	ι Aqr	22 06 26.21	-13 52 10.3	4.29	0.67	172	B8V
4	99 Aqr	23 26 02.82	-20 38 30.7	4.38	-0.5	308	K4III
4	ψ2 Aqr	23 17 54.20	-09 10 57.0	4.41	-0.56	322	B5Vn
4	ζ2 Aqr	22 28 50.10	-00 01 12.0	4.42	9999	251	F3V
4	3 Aqr	20 47 44.24	-05 01 39.4	4.43	-1.24	445	M3IIIvar
4	86 Aqr	23 06 40.81	-23 44 35.2	4.48	0.67	188	G8III
4	ω2 Aqr	23 42 43.28	-14 32 41.1	4.49	1.12	154	B9V
4	ν Aqr	21 09 35.59	-11 22 18.0	4.5	1	164	G8III
4	ξ Aqr	21 37 45.04	-07 51 14.9	4.68	0.99	179	A7V
4	66 Aqr	22 43 35.25	-18 49 49.1	4.68	-1.18	484	K3III
4	101 Aqr	23 33 16.63	-20 54 52.3	4.7	-0.26	320	A0V
4	89 Aqr	23 09 54.88	-22 27 27.3	4.71	-1.31	521	A3IV:
